"Year","Country of permanent residence","Nationality","Offence group and specifier for criminal act","Wellbeing services county","Persons suspected of solved offences"
"2000","Total","Finland","Offences and infractions total","WHOLE COUNTRY",550519
"2000","Total","FOREIGN COUNTRIES, TOTAL","Offences and infractions total","WHOLE COUNTRY",31685
"2000","Total","EUROPE","Offences and infractions total","WHOLE COUNTRY",24308
"2000","Total","AFRICA","Offences and infractions total","WHOLE COUNTRY",2474
"2000","Total","AMERICA","Offences and infractions total","WHOLE COUNTRY",450
"2000","Total","ASIA","Offences and infractions total","WHOLE COUNTRY",2937
"2000","Total","OCEANIA","Offences and infractions total","WHOLE COUNTRY",46
"2001","Total","Finland","Offences and infractions total","WHOLE COUNTRY",553587
"2001","Total","FOREIGN COUNTRIES, TOTAL","Offences and infractions total","WHOLE COUNTRY",33284
"2001","Total","EUROPE","Offences and infractions total","WHOLE COUNTRY",24605
"2001","Total","AFRICA","Offences and infractions total","WHOLE COUNTRY",2336
"2001","Total","AMERICA","Offences and infractions total","WHOLE COUNTRY",452
"2001","Total","ASIA","Offences and infractions total","WHOLE COUNTRY",3991
"2001","Total","OCEANIA","Offences and infractions total","WHOLE COUNTRY",64
"2002","Total","Finland","Offences and infractions total","WHOLE COUNTRY",536460
"2002","Total","FOREIGN COUNTRIES, TOTAL","Offences and infractions total","WHOLE COUNTRY",35804
"2002","Total","EUROPE","Offences and infractions total","WHOLE COUNTRY",26971
"2002","Total","AFRICA","Offences and infractions total","WHOLE COUNTRY",2356
"2002","Total","AMERICA","Offences and infractions total","WHOLE COUNTRY",432
"2002","Total","ASIA","Offences and infractions total","WHOLE COUNTRY",4458
"2002","Total","OCEANIA","Offences and infractions total","WHOLE COUNTRY",59
"2003","Total","Finland","Offences and infractions total","WHOLE COUNTRY",561126
"2003","Total","FOREIGN COUNTRIES, TOTAL","Offences and infractions total","WHOLE COUNTRY",35466
"2003","Total","EUROPE","Offences and infractions total","WHOLE COUNTRY",25807
"2003","Total","AFRICA","Offences and infractions total","WHOLE COUNTRY",2871
"2003","Total","AMERICA","Offences and infractions total","WHOLE COUNTRY",517
"2003","Total","ASIA","Offences and infractions total","WHOLE COUNTRY",4181
"2003","Total","OCEANIA","Offences and infractions total","WHOLE COUNTRY",51
"2004","Total","Finland","Offences and infractions total","WHOLE COUNTRY",602770
"2004","Total","FOREIGN COUNTRIES, TOTAL","Offences and infractions total","WHOLE COUNTRY",36121
"2004","Total","EUROPE","Offences and infractions total","WHOLE COUNTRY",25783
"2004","Total","AFRICA","Offences and infractions total","WHOLE COUNTRY",3203
"2004","Total","AMERICA","Offences and infractions total","WHOLE COUNTRY",510
"2004","Total","ASIA","Offences and infractions total","WHOLE COUNTRY",4584
"2004","Total","OCEANIA","Offences and infractions total","WHOLE COUNTRY",60
"2005","Total","Finland","Offences and infractions total","WHOLE COUNTRY",610131
"2005","Total","FOREIGN COUNTRIES, TOTAL","Offences and infractions total","WHOLE COUNTRY",38656
"2005","Total","EUROPE","Offences and infractions total","WHOLE COUNTRY",27856
