"Main type of activity","Nationality","Occupational status","Sex",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total","Finland","Wage and salary earners","Total",1927810,1938660,1947687,1952946,1968434,1986156,2024870,2069760,2071128,1986659,2011873,2021440,2000812,1963127,1937215,1923558,1935920,1988019,2018192,2004549,1918342,1988895
"Total","Finland","Entrepreneurs","Total",241110,238548,235679,233461,231938,232593,233424,234644,233124,228988,231486,240260,238930,234952,229471,223293,225213,218695,225588,226099,223259,226073
"Total","Finland","Not employed","Total",1035231,1035224,1034826,1033750,1020077,1007238,958371,923156,927384,1015869,975682,935337,937180,957543,966378,964849,930779,866957,811422,807158,879515,789261
"Total","FOREIGN COUNTRIES, TOTAL","Wage and salary earners","Total",24792,27544,29468,30499,32050,35505,40845,48120,53642,54016,58492,65319,69318,71342,73685,75962,80146,86164,93144,98181,94490,110360
"Total","FOREIGN COUNTRIES, TOTAL","Entrepreneurs","Total",2425,2720,2976,3171,3325,3669,4063,4476,5047,5586,6369,7121,7709,8004,8131,8438,9214,9519,10868,12109,13104,14858
"Total","FOREIGN COUNTRIES, TOTAL","Not employed","Total",37190,40055,42033,43998,44079,45556,46952,49072,52361,61412,66037,70384,75802,83075,89993,95045,100145,98197,95777,96865,107619,104241
"Employed","Finland","Wage and salary earners","Total",1927810,1938660,1947687,1952946,1968434,1986156,2024870,2069760,2071128,1986659,2011873,2021440,2000812,1963127,1937215,1923558,1935920,1988019,2018192,2004549,1918342,1988895
"Employed","Finland","Entrepreneurs","Total",241110,238548,235679,233461,231938,232593,233424,234644,233124,228988,231486,240260,238930,234952,229471,223293,225213,218695,225588,226099,223259,226073
"Employed","FOREIGN COUNTRIES, TOTAL","Wage and salary earners","Total",24792,27544,29468,30499,32050,35505,40845,48120,53642,54016,58492,65319,69318,71342,73685,75962,80146,86164,93144,98181,94490,110360
"Employed","FOREIGN COUNTRIES, TOTAL","Entrepreneurs","Total",2425,2720,2976,3171,3325,3669,4063,4476,5047,5586,6369,7121,7709,8004,8131,8438,9214,9519,10868,12109,13104,14858
"Unemployed","Finland","Not employed","Total",304184,299927,288457,289371,284626,269123,234926,205465,219018,280701,248584,236140,258261,300902,331917,342841,323287,268157,230140,231343,316642,241117
"Unemployed","FOREIGN COUNTRIES, TOTAL","Not employed","Total",12885,13845,13043,13642,13957,13858,13279,12668,13882,18570,19069,20024,22664,26960,30281,31693,32077,28034,26020,25743,34649,29727
