Year;Month;First residence permit to Finland;Decision;Number
2015;1;Family;Positive;599
2015;1;Family;Negative;107
2015;1;Other;Positive;39
2015;1;Other;Negative;11
2015;1;Studies;Positive;106
2015;1;Studies;Negative;4
2015;1;Work;Positive;444
2015;1;Work;Negative;51
2015;2;Family;Positive;611
2015;2;Family;Negative;88
2015;2;Other;Positive;32
2015;2;Other;Negative;13
2015;2;Studies;Positive;44
2015;2;Studies;Negative;18
2015;2;Work;Positive;693
2015;2;Work;Negative;79
2015;3;Family;Positive;721
2015;3;Family;Negative;175
2015;3;Other;Positive;28
2015;3;Other;Negative;29
2015;3;Studies;Positive;28
2015;3;Studies;Negative;27
2015;3;Work;Positive;598
2015;3;Work;Negative;91
2015;4;Family;Positive;598
2015;4;Family;Negative;143
2015;4;Other;Positive;39
2015;4;Other;Negative;19
2015;4;Studies;Positive;46
2015;4;Studies;Negative;12
2015;4;Work;Positive;493
2015;4;Work;Negative;92
2015;5;Family;Positive;626
2015;5;Family;Negative;180
2015;5;Other;Positive;38
2015;5;Other;Negative;27
2015;5;Studies;Positive;25
2015;5;Studies;Negative;23
2015;5;Work;Positive;421
2015;5;Work;Negative;70
2015;6;Family;Positive;745
2015;6;Family;Negative;192
2015;6;Other;Positive;39
2015;6;Other;Negative;11
2015;6;Studies;Positive;1040
2015;6;Studies;Negative;11
2015;6;Work;Positive;459
2015;6;Work;Negative;52
2015;7;Family;Positive;676
2015;7;Family;Negative;150
2015;7;Other;Positive;30
2015;7;Other;Negative;17
2015;7;Studies;Positive;2114
2015;7;Studies;Negative;61
2015;7;Work;Positive;471
2015;7;Work;Negative;43
2015;8;Family;Positive;705
2015;8;Family;Negative;76
2015;8;Other;Positive;44
2015;8;Other;Negative;7
2015;8;Studies;Positive;1053
2015;8;Studies;Negative;86
2015;8;Work;Positive;404
2015;8;Work;Negative;73
2015;9;Family;Positive;778
2015;9;Family;Negative;280
2015;9;Other;Positive;43
2015;9;Other;Negative;27
2015;9;Studies;Positive;228
2015;9;Studies;Negative;139
2015;9;Work;Positive;434
2015;9;Work;Negative;86
2015;10;Family;Positive;791
2015;10;Family;Negative;257
2015;10;Other;Positive;50
2015;10;Other;Negative;22
2015;10;Studies;Positive;126
2015;10;Studies;Negative;51
2015;10;Work;Positive;320
2015;10;Work;Negative;81
2015;11;Family;Positive;672
2015;11;Family;Negative;166
2015;11;Other;Positive;41
2015;11;Other;Negative;12
2015;11;Studies;Positive;540
2015;11;Studies;Negative;22
2015;11;Work;Positive;356
2015;11;Work;Negative;99
2015;12;Family;Positive;517
2015;12;Family;Negative;145
2015;12;Other;Positive;32
2015;12;Other;Negative;10
2015;12;Studies;Positive;518
2015;12;Studies;Negative;28
2015;12;Work;Positive;343
2015;12;Work;Negative;68
2016;1;Family;Positive;571
2016;1;Family;Negative;118
2016;1;Other;Positive;31
2016;1;Other;Negative;8
2016;1;Studies;Positive;64
2016;1;Studies;Negative;22
2016;1;Work;Positive;305
2016;1;Work;Negative;54
2016;2;Family;Positive;639
2016;2;Family;Negative;144
2016;2;Other;Positive;49
2016;2;Other;Negative;17
2016;2;Studies;Positive;67
2016;2;Studies;Negative;9
2016;2;Work;Positive;456
2016;2;Work;Negative;101
2016;3;Family;Positive;605
2016;3;Family;Negative;98
2016;3;Other;Positive;39
2016;3;Other;Negative;16
2016;3;Studies;Positive;46
2016;3;Studies;Negative;30
2016;3;Work;Positive;622
2016;3;Work;Negative;66
2016;4;Family;Positive;569
2016;4;Family;Negative;110
2016;4;Other;Positive;38
2016;4;Other;Negative;31
2016;4;Studies;Positive;79
2016;4;Studies;Negative;17
2016;4;Work;Positive;586
2016;4;Work;Negative;78
2016;5;Family;Positive;663
2016;5;Family;Negative;95
2016;5;Other;Positive;42
2016;5;Other;Negative;17
2016;5;Studies;Positive;232
2016;5;Studies;Negative;7
2016;5;Work;Positive;457
2016;5;Work;Negative;105
2016;6;Family;Positive;712
2016;6;Family;Negative;116
2016;6;Other;Positive;70
2016;6;Other;Negative;13
2016;6;Studies;Positive;1224
2016;6;Studies;Negative;76
2016;6;Work;Positive;464
2016;6;Work;Negative;93
2016;7;Family;Positive;732
2016;7;Family;Negative;111
2016;7;Other;Positive;96
2016;7;Other;Negative;15
2016;7;Studies;Positive;2010
2016;7;Studies;Negative;88
2016;7;Work;Positive;453
2016;7;Work;Negative;64
2016;8;Family;Positive;727
2016;8;Family;Negative;110
2016;8;Other;Positive;81
2016;8;Other;Negative;2
2016;8;Studies;Positive;1109
2016;8;Studies;Negative;140
2016;8;Work;Positive;512
2016;8;Work;Negative;107
2016;9;Family;Positive;802
2016;9;Family;Negative;122
2016;9;Other;Positive;68
2016;9;Other;Negative;7
2016;9;Studies;Positive;277
2016;9;Studies;Negative;151
2016;9;Work;Positive;434
2016;9;Work;Negative;94
2016;10;Family;Positive;777
2016;10;Family;Negative;113
2016;10;Other;Positive;61
2016;10;Other;Negative;7
2016;10;Studies;Positive;130
2016;10;Studies;Negative;33
2016;10;Work;Positive;519
2016;10;Work;Negative;126
2016;11;Family;Positive;791
2016;11;Family;Negative;124
2016;11;Other;Positive;44
2016;11;Other;Negative;7
2016;11;Studies;Positive;470
2016;11;Studies;Negative;34
2016;11;Work;Positive;519
2016;11;Work;Negative;216
2016;12;Family;Positive;583
2016;12;Family;Negative;114
2016;12;Other;Positive;57
2016;12;Other;Negative;3
2016;12;Studies;Positive;640
2016;12;Studies;Negative;8
2016;12;Work;Positive;443
2016;12;Work;Negative;88
2017;1;Family;Positive;488
2017;1;Family;Negative;77
2017;1;Other;Positive;21
2017;1;Other;Negative;16
2017;1;Studies;Positive;320
2017;1;Studies;Negative;12
2017;1;Work;Positive;514
2017;1;Work;Negative;61
2017;2;Family;Positive;667
2017;2;Family;Negative;69
2017;2;Other;Positive;27
