Year;Month;Citizenship;Decision;Number
2015;1;Afghanistan;Positive;32
2015;1;Afghanistan;Negative;6
2015;1;Albania;Positive;3
2015;1;Albania;Negative;2
2015;1;Algeria;Positive;2
2015;1;Angola;Negative;1
2015;1;Argentina;Positive;1
2015;1;Australia;Positive;15
2015;1;Australia;Negative;2
2015;1;Azerbaijan;Positive;1
2015;1;Bangladesh;Positive;6
2015;1;Bangladesh;Negative;1
2015;1;Belarus;Positive;9
2015;1;Bolivia;Positive;1
2015;1;Bosnia and Herzegovina;Positive;9
2015;1;Bosnia and Herzegovina;Negative;1
2015;1;Brazil;Positive;25
2015;1;Burundi;Negative;1
2015;1;Cameroon;Positive;9
2015;1;Cameroon;Negative;1
2015;1;Canada;Positive;5
2015;1;Chile;Positive;4
2015;1;Chile;Negative;1
2015;1;China;Positive;90
2015;1;China;Negative;3
2015;1;Colombia;Positive;1
2015;1;Congo (Congo-Brazzaville);Positive;1
2015;1;Congo (Congo-Kinshasa);Positive;6
2015;1;Côte dIvoire;Positive;5
2015;1;Côte dIvoire;Negative;1
2015;1;Croatia;Positive;1
2015;1;Cuba;Positive;1
2015;1;Cuba;Negative;2
2015;1;Egypt;Positive;7
2015;1;Estonia;Positive;2
2015;1;Ethiopia;Positive;2
2015;1;Gambia;Positive;6
2015;1;Gambia;Negative;4
2015;1;Ghana;Positive;8
2015;1;Ghana;Negative;1
2015;1;Honduras;Positive;1
2015;1;India;Positive;121
2015;1;India;Negative;1
2015;1;Indonesia;Positive;5
2015;1;Iran, Islamic Republic of;Positive;8
2015;1;Iran, Islamic Republic of;Negative;5
2015;1;Iraq;Positive;21
2015;1;Iraq;Negative;6
2015;1;Israel;Positive;1
2015;1;Jamaica;Positive;1
2015;1;Japan;Positive;10
2015;1;Kazakstan;Positive;6
2015;1;Kenya;Positive;11
2015;1;Korea, Republic of (South Korea);Positive;12
2015;1;Kosovo;Positive;18
2015;1;Kosovo;Negative;3
2015;1;Lebanon;Positive;1
2015;1;Liberia;Positive;1
2015;1;Malawi;Positive;1
2015;1;Malaysia;Positive;2
2015;1;Mexico;Positive;9
2015;1;Moldova, Republic of;Positive;3
2015;1;Morocco;Positive;8
2015;1;Morocco;Negative;2
2015;1;Myanmar;Negative;1
2015;1;Nepal;Positive;12
2015;1;Nepal;Negative;3
2015;1;Netherlands;Positive;1
2015;1;New Zealand;Positive;6
2015;1;Nicaragua;Positive;1
2015;1;Nigeria;Positive;13
2015;1;Nigeria;Negative;5
2015;1;North Macedonia;Positive;1
2015;1;Not clarified;Positive;10
2015;1;Not clarified;Negative;4
2015;1;Pakistan;Positive;17
2015;1;Pakistan;Negative;2
2015;1;Paraguay;Positive;1
2015;1;Peru;Positive;1
2015;1;Philippines;Positive;40
2015;1;Philippines;Negative;3
2015;1;Russian Federation;Positive;161
2015;1;Russian Federation;Negative;19
2015;1;Rwanda;Positive;2
2015;1;Rwanda;Negative;1
2015;1;Saudi Arabia;Positive;2
2015;1;Senegal;Positive;1
2015;1;Senegal;Negative;2
2015;1;Serbia;Positive;5
2015;1;Serbia;Negative;1
2015;1;Sierra Leone;Negative;1
2015;1;Somalia;Positive;40
2015;1;Somalia;Negative;50
