Age,M,F,year
0-4,150302,144088,2000
5-9,167021,160862,2000
10-14,162240,155112,2000
15-19,169811,162188,2000
20-24,167356,160307,2000
25-29,156218,149117,2000
30-34,179574,172639,2000
35-39,193536,186216,2000
40-44,195119,189237,2000
45-49,203165,198773,2000
50-54,214957,210919,2000
55-59,147273,149869,2000
60-64,123612,134458,2000
65-69,103723,122614,2000
70-74,87815,122129,2000
75-79,57109,104694,2000
80-84,28663,67771,2000
85-89,14059,41526,2000
90-94,4030,14720,2000
95-99,562,2563,2000
100+,44,205,2000
0-4,147648,141381,2001
5-9,165158,158925,2001
10-14,163943,156864,2001
15-19,169011,161490,2001
20-24,166675,159753,2001
25-29,158546,150666,2001
30-34,173752,167217,2001
35-39,192355,185202,2001
40-44,192839,187313,2001
45-49,201430,197561,2001
50-54,214222,210340,2001
55-59,158058,159823,2001
60-64,127506,137990,2001
65-69,103851,121516,2001
70-74,89626,122247,2001
75-79,59570,105248,2001
80-84,30348,70921,2001
85-89,14060,41654,2001
90-94,4249,15459,2001
95-99,584,2722,2001
100+,46,222,2001
0-4,145717,139275,2002
5-9,162123,155982,2002
10-14,166553,159613,2002
15-19,166768,159403,2002
20-24,166783,159658,2002
25-29,161956,153905,2002
30-34,167400,160951,2002
35-39,190989,183979,2002
40-44,191360,185953,2002
45-49,199639,196155,2002
50-54,210725,206896,2002
55-59,171738,173012,2002
60-64,130586,140460,2002
65-69,104838,121858,2002
70-74,90707,121769,2002
75-79,62203,105713,2002
80-84,31964,73684,2002
85-89,14078,41727,2002
90-94,4482,16162,2002
95-99,614,2911,2002
100+,46,247,2002
0-4,144954,138211,2003
5-9,158232,152343,2003
10-14,168304,161477,2003
15-19,164251,157179,2003
20-24,168207,160869,2003
25-29,165754,157998,2003
30-34,161005,154118,2003
35-39,188544,181874,2003
40-44,191866,186249,2003
45-49,196593,193447,2003
50-54,206413,203021,2003
55-59,188065,189147,2003
60-64,129916,139042,2003
65-69,107929,124451,2003
70-74,90533,119910,2003
75-79,64913,106215,2003
80-84,33799,76380,2003
85-89,14317,42098,2003
90-94,4619,16647,2003
95-99,650,3123,2003
100+,48,264,2003
0-4,145105,138310,2004
5-9,154510,148554,2004
10-14,168663,162161,2004
15-19,162964,155946,2004
20-24,169803,162327,2004
25-29,168574,160857,2004
30-34,157242,150240,2004
35-39,184355,177997,2004
40-44,192685,186861,2004
45-49,194101,190778,2004
50-54,201604,199437,2004
55-59,200270,201203,2004
60-64,131657,139847,2004
65-69,111970,128420,2004
70-74,90097,117272,2004
75-79,67506,107431,2004
80-84,36393,80150,2004
85-89,14497,41975,2004
90-94,4735,17221,2004
95-99,701,3381,2004
100+,47,286,2004
0-4,145444,138879,2005
5-9,151298,145120,2005
10-14,168096,161874,2005
15-19,163334,156169,2005
20-24,170607,163052,2005
25-29,169361,161667,2005
30-34,157499,150180,2005
35-39,179377,173143,2005
40-44,192217,186367,2005
45-49,192186,188705,2005
50-54,198095,197141,2005
55-59,206819,207809,2005
60-64,139141,146407,2005
65-69,113519,129798,2005
70-74,90564,115478,2005
75-79,69808,109001,2005
80-84,38969,83127,2005
85-89,15190,43081,2005
90-94,4859,17905,2005
95-99,769,3655,2005
100+,46,304,2005
0-4,146371,140168,2006
5-9,148774,142540,2006
10-14,166231,159937,2006
15-19,165121,158005,2006
20-24,170287,162686,2006
25-29,169308,161773,2006
30-34,160306,151999,2006
